token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
99926000,Nifty 50,NIFTY,0.000000,1,0,AMXIDX,NSE,0.000000
99926001,Nifty GrowSect 15,NIFTY GROWSECT 15,0.000000,1,0,AMXIDX,NSE,0.000000
99926002,Nifty High Beta 50,NIFTY HIGH BETA 50,0.000000,1,0,AMXIDX,NSE,0.000000
99926003,Nifty100 ESG Sector Leaders,NIFTY100 ESG SECTOR LEADERS,0.000000,1,0,AMXIDX,NSE,0.000000
99926004,Nifty 200,NIFTY 200,0.000000,1,0,AMXIDX,NSE,0.000000
99926005,Nifty 500,NIFTY 500,0.000000,1,0,AMXIDX,NSE,0.000000
99926006,Nifty Alpha Low-Volatility 30,NIFTY ALPHA LOW-VOLATILITY 30,0.000000,1,0,AMXIDX,NSE,0.000000
99926007,Nifty Bank,NIFTY BANK,0.000000,1,0,AMXIDX,NSE,0.000000
99926008,Nifty Commodities,NIFTY COMMODITIES,0.000000,1,0,AMXIDX,NSE,0.000000
99926009,Nifty Consumer Durables,NIFTY CONSUMER DURABLES,0.000000,1,0,AMXIDX,NSE,0.000000
